 ID,Place Name,Place Locatioon,Place Image,is place free,Created,Updated
90,flower shop,"700 1/2 Lydia St, Austin, TX 78702, USA",,,2025-06-29T03:31:09.822Z,2025-06-29T21:19:52.440Z
89,Austin Proper Hotel,"600 W 2nd St, Austin, TX 78701, USA",,,2025-06-28T23:57:19.572Z,2025-06-29T00:53:53.527Z
88,barbarellas ,"611 Red River St, Austin, TX 78701, USA","{'url':'a82862ced93e49caf15a9d1a88b8cef81bcb4e4ff6bd67701172ff6066fb60de.jpeg','size':2664439,'width':4032,'height':3024,'filename':'IMG_5699.jpeg','metadata':{'width':4032,'height':3024,'blurHash':'eA5;?.n:D$Rk%NM{a$xva~V]D|WlxvofRitRj;M_obk8RWoNt4f5Rn','blurHashWidth':32}}",,2025-06-28T06:18:19.437Z,2025-06-30T03:46:52.538Z
87,floppy disk,"119 E 5th St., Austin, TX 78701, USA",,,2025-06-28T06:06:06.862Z,2025-06-28T06:06:06.862Z
86,Austin Bouldering Project,"979 Springdale Rd, Austin, TX 78702, USA",,,2025-06-26T23:56:11.459Z,2025-06-26T23:56:17.452Z
85,Codependent Cocktails + Coffee,"301 West Ave ste 110, Austin, TX 78701, USA","{'url':'2aa358d6d6c89bc55ebc99de7341a517dbad7ffaa74da04488264127cafaf48e.jpeg','size':2223599,'width':1290,'height':1687,'filename':'IMG_6690.jpeg','metadata':{'width':1290,'height':1687,'blurHash':'ebG[_}M{axxuWBtRIUaxozoL~qV@RkogoMIof6ofj]ayRkWBj]j[j@','blurHashWidth':32}}",,2025-06-24T17:02:24.997Z,2025-06-24T18:42:14.406Z
84,Golds Gym,"6001 Middle Fiskville Rd #100, Austin, TX 78752, USA",,,2025-06-24T12:43:51.161Z,2025-06-29T21:20:19.361Z
83,low down,"1412 E 6th St #3304, Austin, TX 78702, USA",,,2025-06-24T03:32:35.014Z,2025-06-24T03:32:42.947Z
82,Athletic Outcomes,"2301-A E Riverside Dr #50, Austin, TX 78741, USA",,,2025-06-24T02:23:17.934Z,2025-06-24T02:23:17.934Z
81,mueller farmers marker,"901 Spence St, Austin, TX 78702, USA","{'url':'99cec182c3afe6f96c85e4fea0ec4ae119fe93a2bb9cc956b359d245f030a90d.jpg','size':5026834,'width':4032,'height':3024,'filename':'image.jpg','metadata':{'width':4032,'height':3024,'blurHash':'eTI5e@ITt7ofog0LWAozj[oz?bxtM{t7j]%MM{M{ofofRjWAs:ayt7','blurHashWidth':32}}",,2025-06-22T17:28:43.385Z,2025-06-29T21:20:10.367Z
80,Lifetime South (Austin),"7101 S MoPac Expy, Austin, TX 78749, USA","{'url':'fd989115f403a187eaa959bf55676d679fdf29bc56aa554567e894b8e9fde7c6.jpeg','size':1365212,'width':1284,'height':1271,'filename':'3A6636B1-87B4-4858-A4F7-833F54572A0A.jpeg','metadata':{'width':1284,'height':1271,'blurHash':'ekM7rsV?WAt6oe%%V@j[a}aeF#t7a#flaeN{kDaxjsoLS%bwaejskC','blurHashWidth':32}}",,2025-06-21T01:24:37.558Z,2025-06-30T21:21:59.031Z
79,mean eyed cat,"1621 W 5th St, Austin, TX 78703, USA",,,2025-06-20T23:48:50.936Z,2025-06-21T16:13:13.834Z
78,whole foods,"525 N Lamar Blvd, Austin, TX 78703, USA","{'url':'3ff5923266e98c8474f67abc7699226147ed084ca641a8f69d9741d5c87837d3.jpeg','size':1072393,'width':1320,'height':984,'filename':'IMG_9301.jpeg','metadata':{'width':1320,'height':984,'blurHash':'eoGS.inMt3jEs+cIV?s7oHjEM~bJWBf5WAjEbJa$j?axxsobozWYj[','blurHashWidth':32}}",,2025-06-19T02:00:10.921Z,2025-06-24T20:17:05.092Z
77,Cowboys Fit,"411 N Washington Ave Ste 1900, Dallas, TX 75246, USA","{'url':'44e2fd5ce3aecc49e445ac0304b2c14611039bd9d57797fb7f755cb6fb8fb9e3.jpeg','size':50460,'width':396,'height':305,'filename':'IMG_9479.jpeg','metadata':{'width':396,'height':305,'blurHash':'eNBDsi-;9Ga#xu0KIUxtfQj[Rjoft7j[Rj?bxuWBj[WB00IUxuayj[','blurHashWidth':32}}",,2025-06-16T16:38:58.493Z,2025-06-16T16:39:05.263Z
76,Luna ,"120 W 5th St, Austin, TX 78701, USA",,,2025-06-15T00:13:11.569Z,2025-06-24T20:17:20.972Z
75,Crunch - South Austin,"4625 W William Cannon Dr, Austin, TX 78749, USA","{'url':'0a0db8b1705d227af00b510e2685fe1875dc4c92f64ee3a2274828a9cfb3bad8.jpeg','size':129838,'width':780,'height':624,'filename':'IMG_7281.jpeg','metadata':{'width':780,'height':624,'blurHash':'eh9bqyRnj[kDaypMRlo#azaycIa$ogj]aep1j]V?kCaebdj=ROf5of','blurHashWidth':32}}",,2025-06-13T00:10:57.293Z,2025-06-18T03:15:05.063Z
74,Moody Center,"2001 Robert Dedman Dr, Austin, TX 78712, USA","{'url':'90f51ca3000f9585140592cb0666f6fcaa1310f4e9cdfa1f37164b35bdab67db.jpg','size':670838,'width':1439,'height':961,'filename':'ef71ec41-c456-41c4-ac76-be71c439f628-1_all_68049.jpg','metadata':{'width':1439,'height':961,'blurHash':'ecCs]xROTLkWbIT#V?kXR.aeF#f,ngs:e-JCX9rpsloKs:j[jFjEX9','blurHashWidth':32}}",,2025-06-12T23:24:53.289Z,2025-06-12T23:25:04.244Z
73,Merit coffee,"1105 S Lamar Blvd, Austin, TX 78704, USA","{'url':'1a36392ef91c2598dd74808f15ef60028ee92d0587807b7e59f76a55fa3dcea0.jpeg','size':6798704,'width':4032,'height':3024,'filename':'DC6F307C-02D1-4FC9-A371-9D00D59A96D0.jpeg','metadata':{'width':4032,'height':3024,'blurHash':'eFE{a|XTMv#jw}0enhIqJ:XR^*IVxuofbbJCX7k8VrwerqVsxvtRSz','blurHashWidth':32}}",,2025-06-12T15:38:19.786Z,2025-06-12T19:29:08.443Z
72,The White Horse,"500 Comal St, Austin, TX 78702, USA","{'url':'0ddd55ea10e3ddd9312ed28b4b28df2a4ba188dc520fa06a0401e55f738562d0.jpeg','size':1032767,'width':1170,'height':851,'filename':'IMG_1881.jpeg','metadata':{'width':1170,'height':851,'blurHash':'eA7_1YpI0Mn3$2icMxNdtlkXE*xu-TM{V@4:bH-ojaWCVYnOogXTX9','blurHashWidth':32}}",,2025-06-11T04:38:18.417Z,2025-06-13T03:36:39.076Z
39,Celebration church,"601 Westinghouse Rd, Georgetown, TX 78626, USA","{'url':'6659d58186d71c69bc799df38d801975577f63eea487aff702d9737b85b3c182.jpeg','size':134824,'width':2100,'height':946,'filename':'IMG_7473.jpeg','metadata':{'width':2100,'height':946,'blurHash':'eSR3TWxu~q-;9F~qof?bt7D%IUayRjWBof~qofRjj[ofxuj[t7j[Rj','blurHashWidth':32}}",,2025-06-06T23:11:45.075Z,2025-06-13T21:05:25.842Z
38,Port Aransas Beach,"Port Aransas Beach, Port Aransas, TX 78373, USA","{'url':'e2a142f222a55194d60237b3f86b98d48a833f08647c18830797afb3bcc6e37c.jpeg','size':1362138,'width':1284,'height':1634,'filename':'FE2C1B05-FAF5-4CAE-A561-7884D0EDA704.jpeg','metadata':{'width':1284,'height':1634,'blurHash':'eMHCQKM{M{xuWB0=RQoMt7j[~UWBjbt7WB-naxj[oef6NzWBt7WBax','blurHashWidth':32}}",,2025-06-06T19:59:13.588Z,2025-06-17T07:00:01.829Z
37,Lazarus Brewing Co,"1902 E 6th St, Austin, TX 78702, USA","{'url':'868b8d1603be57e2825d321c03edd1fda07b7542a91a3dfb89ca293e8eadd4f1.jpeg','size':434870,'width':505,'height':828,'filename':'B2D99AB5-5DE5-447B-BDA6-9ABBC857EECE.jpeg','metadata':{'width':505,'height':828,'blurHash':'e-D,vbt9bcogj[yGjvaeflj[kZV@jXaxaeV@WAoejZayacj?jbbIkC','blurHashWidth':32}}",,2025-06-04T19:13:26.056Z,2025-06-04T19:13:26.056Z
36,Luna Rooftop,"120 W 5th St, Austin, TX 78701, USA","{'url':'74bb880da7fd61a855d8d9839a9e4397e77a0896a654a8af0f4034c5b83ac3f8.jpeg','size':556216,'width':646,'height':937,'filename':'ED4E8F11-ACCC-41B1-A7BA-E7F8D8BB1D09.jpeg','metadata':{'width':646,'height':937,'blurHash':'eZExw_M|tPoMof?EWExaj[of~CRRt6j[fks*RkoyjufkjZR+j?a|ay','blurHashWidth':32}}",,2025-06-04T19:04:29.487Z,2025-06-04T19:04:29.487Z
35,Strangelove,"2614 E Cesar Chavez St, Austin, TX 78702, USA","{'url':'eccbb5e67faa8542245c022419bf15421a03353b3b4f5c27f94845dc77e6827d.jpeg','size':2015491,'width':1284,'height':1699,'filename':'9118988E-96AB-4E95-8B7C-CF1E8A4B5BCC.jpeg','metadata':{'width':1284,'height':1699,'blurHash':'eDE{FItk4.s%oyn2x@x]Rkof4Uw|%2%Ns:Roa%aexZxujGofoejEWU','blurHashWidth':32}}",,2025-06-03T20:17:56.939Z,2025-06-04T14:41:22.687Z
34,Little Woodrow’s,"522 W 6th St, Austin, TX 78701, USA",,,2025-06-01T03:09:43.254Z,2025-06-23T01:23:12.550Z
33,aba,"1011 S Congress Ave Bldg 2 Suite 180, Austin, TX 78704, USA","{'url':'be3ba855ac624b84bc80020c71c814400c2cf88d6d3c852eda2dec0e147e3924.jpg','size':3433998,'width':4032,'height':3024,'filename':'image.jpg','metadata':{'width':4032,'height':3024,'blurHash':'eKIOa?-:I9%M%N01aiV[RjRj4oa$R.RiaxITITozofoe%g%2xaoMbI','blurHashWidth':32}}",,2025-06-01T00:50:44.858Z,2025-06-11T12:59:27.664Z
32,De Nada Cantina,"4715 E Cesar Chavez St, Austin, TX 78702, USA","{'url':'5a6d994f5b1a0e17401fb1439c275bfd117cf12c5d86e3a55f0001cece97e604.jpeg','size':379905,'width':1284,'height':1550,'filename':'14504843-8AD2-474B-8039-96FD7EDDE0BA.jpeg','metadata':{'width':1284,'height':1550,'blurHash':'eHHyOVx9pLx^ROtTnzIqxWxZ%hofMbjXWB.AIsRORkkC9ERiI[axt7','blurHashWidth':32}}",,2025-05-30T15:57:58.070Z,2025-06-22T01:46:46.780Z
31,the lucky duck,"1300 E 6th St, Austin, TX 78702, USA","{'url':'f9aa48fcb4ed8450fafdef9a2c893870c81b8c240423a273184c3527c3dfae35.png','size':3003347,'width':1080,'height':2400,'filename':'1000003759.png','metadata':{'width':1080,'height':2400,'blurHash':'ehIY2$t6oKt7t700ofV@bHWB?bafj[j@oL-;WBWWaya{xuogWBa|WB','blurHashWidth':32}}",,2025-05-25T20:01:46.032Z,2025-06-30T00:34:06.360Z
30,Party Cove Lake Austin,"Lake Austin, Texas, USA","{'url':'597d444ab1ea388fc045321a9d5db5c815e535d270fd844e6796f1bb7a2058bc.jpeg','size':349834,'width':1280,'height':720,'filename':'27A1A37D-64A8-4CED-9BAC-D5B0231D8986.jpeg','metadata':{'width':1280,'height':720,'blurHash':'eeGlnvaOn,afX8XVbvsSoze.%$n+R%j]WB?wX9nhoMW:tnsmozW=jb','blurHashWidth':32}}",,2025-05-23T22:09:38.517Z,2025-06-01T22:41:02.169Z
29,Devils Cove Lake Travis,"Lake Travis, Texas, USA","{'url':'52401dd52bbcdfb8fc9fca4e4c6d312aa8b9fe08de47a1e1b8215ac635608012.jpeg','size':669950,'width':1284,'height':2516,'filename':'DD7A92D8-576D-42CE-BCF9-DC64AA11CA12.jpeg','metadata':{'width':1284,'height':2516,'blurHash':'eVEDC%xtkVxajYt:j?niWYkC.AWANHoeaeEkW?s:WEfltTR%bFayR*','blurHashWidth':32}}",,2025-05-23T22:09:06.587Z,2025-05-25T17:01:13.184Z
28,Barton springs,"Barton Springs, Austin, TX 78746, USA",,,2025-05-20T21:02:43.533Z,2025-05-25T20:26:06.102Z
27,LifeTime Alliance,"10761 Founders Wy, Fort Worth, TX 76177, USA",,,2025-05-19T23:44:22.807Z,2025-05-19T23:44:22.807Z
26,beez kneez ,"610 Nueces St Suite 100, Austin, TX 78701, USA","{'url':'bac0a734049cf7aa1a35566c1c84b51bb03004665734f00f3aa464c2837a50ce.jpg','size':1806733,'width':4032,'height':3024,'filename':'image.jpg','metadata':{'width':4032,'height':3024,'blurHash':'e45hV,nmDhMx?Z=|RkScRj%LIVR*x[ogNG0yk9-pxu9a4Ut5tmxuIo','blurHashWidth':32}}",,2025-05-10T06:46:21.762Z,2025-06-26T08:52:15.358Z
25,Soho House Austin,"1011 S Congress Ave Building 2, Suite 100, Austin, TX 78704, USA","{'url':'9ce2d2554903a9f1110344cb4df9d242bbdf6dc4dccc1ab41c33250ec634afcf.jpeg','size':1301214,'width':1284,'height':966,'filename':'0CE77782-D992-43DD-B46A-97A112966F92.jpeg','metadata':{'width':1284,'height':966,'blurHash':'e7Bp2w9b0Mt6oeJCIpjYt6WVMxWBRjW=WrMyt6NH-oRkIoxuNHs.s.','blurHashWidth':32}}",,2025-05-06T19:42:20.747Z,2025-06-22T01:46:20.981Z
24,East Side Paddle Club,"979 Springdale Rd #120, Austin, TX 78702, USA","{'url':'bae3621e87006f76e1a3f77fef3fdb7f4d78caeb368c4770b078a36ed80c3e05.jpeg','size':700656,'width':868,'height':848,'filename':'80E7615C-36D6-4B5E-B987-4AA00F6A8373.jpeg','metadata':{'width':868,'height':848,'blurHash':'eUJH,JM_n7-;SL?dMxO9WYRjIot6WBM{niact8o2Rjt7D$aeafR%W;','blurHashWidth':32}}",,2025-05-06T18:12:50.659Z,2025-06-10T21:04:17.126Z
23,White Tiger,"1321 S Congress Ave, Austin, TX 78704, USA","{'url':'1be4500c416399ea240f60970610b30e665194fdb6e82464f5391ff0ea26283e.jpeg','size':3026545,'width':4032,'height':3024,'filename':'C9B2F8FC-DC69-47AA-8BBB-C8DBD0C93B90.jpeg','metadata':{'width':4032,'height':3024,'blurHash':'eJEfA}ok_4-=-:?aM{?axs%LMb$[-hoHxtIt-;-pRlbHt9xwItIVxt','blurHashWidth':32}}",,2025-05-02T02:57:34.469Z,2025-05-02T02:57:58.114Z
22,Codependent Cocktails + Coffee,"301 West Ave STE 110, Austin, TX 78701, USA","{'url':'e86edcbe826476d6af8edb00464cad03151bd69d7c4af798346144afb83cc241.jpg','size':3019815,'width':4032,'height':3024,'filename':'image.jpg','metadata':{'width':4032,'height':3024,'blurHash':'eGF=z2-=Ip%MkX~VIuWrbHoKmPIUxZV@M{I]IoxWbIoe%$%2xsofog','blurHashWidth':32}}",,2025-04-30T14:55:51.131Z,2025-05-14T13:14:47.509Z
21,Austin Pickle Ranch,"11000 Middle Fiskville Rd Building B, Austin, TX 78753, USA",,,2025-04-29T23:45:01.955Z,2025-04-29T23:45:11.575Z
